from_node,to_node,length_m,highway,name,road_importance,connectivity
11002856687,266586019,30.16244212301173,tertiary,Udyog Vihar Phase V Road,2,8
11002856687,11002856689,115.04250666274157,service,unnamed,1,6
11002856689,11002856687,115.04250666274157,service,unnamed,1,6
11502265602,11502265604,39.66536008815477,service,unnamed,1,8
11502265603,11502196852,12.273566577361848,residential,unnamed,1,8
11502265603,11502265604,7.679109127930964,service,unnamed,1,10
11502265604,11502265602,39.66536008815477,service,unnamed,1,8
11502265604,11502265603,7.679109127930964,service,unnamed,1,10
11502265604,11502265611,23.30814017187649,service,unnamed,1,10
1648207112,3735847145,26.717004085607055,tertiary,unnamed,2,7
1648207112,1648207144,20.78927360417675,service,unnamed,1,12
10901226761,1564804659,3.297409390147858,tertiary,Jacaranda Marg,2,16
10901226761,11502196675,27.173086127947183,tertiary,Jacaranda Marg,2,13
10901226761,10901226762,460.6410362955553,unknown,unnamed,1,16
10901226761,11481660764,266.1871287109853,unknown,unnamed,1,16
10901226762,2721061525,3266.410886505113,unknown,unnamed,1,10
10901226762,10901226761,460.6410362955553,unknown,unnamed,1,16
10901226762,5974196625,84.04532837516042,service,unnamed,1,14
10901226762,4146148485,10.585283008373683,service,unnamed,1,12
11502265611,11502265603,16.947017869481712,residential,unnamed,1,8
11502265611,11502265604,23.308140171876488,service,unnamed,1,10
1648207137,1648207112,22.167803173714983,tertiary,unnamed,2,8
1648207137,1648207167,21.647166031565167,service,unnamed,1,12
1648207144,1648207167,9.587510544281407,service,unnamed,1,16
1648207144,1648207167,26.904105799879588,unknown,unnamed,1,16
1648207144,1648207167,55.77358164716624,unknown,unnamed,1,16
1648207144,1648207112,20.78927360417675,service,unnamed,1,12
1648207146,10994046781,247.67575277440454,residential,unnamed,1,8
1648207167,1648207144,9.587510544281407,service,unnamed,1,16
1648207167,1648207144,55.77358164716624,unknown,unnamed,1,16
1648207167,1648207144,26.904105799879588,unknown,unnamed,1,16
1648207167,1648207137,21.647166031565163,service,unnamed,1,12
6645548364,6645548364,141.57125230892754,service,unnamed,1,12
6645548364,6645548364,141.5712523089275,service,unnamed,1,12
6645548364,6645548375,41.437901061230875,service,unnamed,1,10
6645548375,6542335570,27.414550195598817,tertiary,unnamed,2,8
6645548375,6645548364,41.437901061230875,service,unnamed,1,10
9913894234,9913894237,80.50224648660739,service,unnamed,1,12
9913894234,10680334619,91.40573240936753,service,unnamed,1,12
9913894234,10989273700,84.64381392309843,service,unnamed,1,12
9913894235,6820022778,108.35650430250584,secondary,unnamed,3,7
9913894235,10170571720,29.70880161845046,service,unnamed,1,10
9913894237,9913894234,80.50224648660738,service,unnamed,1,12
9913894237,10989273700,633.2933623453623,service,unnamed,1,12
9913894237,10170571720,30.97450041902018,service,unnamed,1,12
2721061505,2721037502,2637.148628679467,unknown,unnamed,1,10
1648207212,1648207262,52.20672862732786,service,unnamed,1,8
1648207212,4139895943,22.60111961551409,residential,U 59 Road,1,12
1648207212,1648207233,34.18551196737005,residential,U 59 Road,1,12
9911436672,4140072182,4.4898656599818905,residential,unnamed,1,10
9911436672,9911436676,38.31700657170106,residential,U-1,1,9
1648207233,1648207212,34.18551196737005,residential,U 59 Road,1,12
1648207233,1648207257,37.25786561909796,residential,U 59 Road,1,12
1648207233,10044490006,232.88033566745935,residential,unnamed,1,8
9911436674,484649628,4.4902481829595855,residential,U-75,1,10
9911436674,9911436672,68.23644938324927,residential,U-1,1,8
9911436675,484649621,5.9841134811102945,residential,U-77,1,10
9911436675,9911436674,32.051282121161314,residential,U-1,1,8
9911436676,254569287,4.489627138993717,residential,unnamed,1,10
9911436676,537504271,35.67112976202975,residential,unnamed,1,13
9911436678,12099973714,7.268788082594263,residential,U-1,1,8
9911436678,4140072293,33.7862389229647,residential,Road Number 16,1,10
9911436679,4140072296,33.49548994119443,residential,unnamed,1,10
9911436679,9911436678,99.11477844551628,residential,U-1,1,8
9911436681,5228569733,3.9143685582636767,tertiary,unnamed,2,6
9911436681,9911436679,135.3672617314673,residential,U-1,1,7
9911436683,254569407,54.76115861697149,residential,U-35,1,12
9911436683,254569400,46.75160981851567,residential,U-35,1,12
9911436683,9911436684,63.914452613854365,residential,unnamed,1,12
9911436684,9911436683,63.914452613854365,residential,unnamed,1,12
9911436684,254569384,7.00227008734084,residential,unnamed,1,12
9911436684,254569380,25.7908938456186,residential,unnamed,1,12
1648207238,9911496077,22.66559426494436,living_street,unnamed,1,12
1648207238,1648207343,72.767083692268,living_street,unnamed,1,12
1648207238,10994046781,59.2068658333804,residential,unnamed,1,12
9911436686,3735851081,4.809766793791,service,unnamed,1,8
9911436688,9911436690,78.15166105496851,service,unnamed,1,8
9911436689,7085339390,88.66695209282736,service,unnamed,1,8
9911436690,9911436688,78.15166105496851,service,unnamed,1,8
9911436690,7085339387,75.95872608762647,service,unnamed,1,12
9911436690,9911436692,152.48573664565558,service,unnamed,1,12
9911436692,9911436690,152.48573664565558,service,unnamed,1,12
9911436692,7085339388,74.85007946060733,service,unnamed,1,12
9911436692,11021370367,45.68166586261462,service,unnamed,1,8
13600662931,273456813,157.0473659985798,secondary,unnamed,3,8
13600662931,13600662932,48.2937660504878,residential,unnamed,1,6
1648207257,1648207350,88.13645947053922,living_street,U 54 Road,1,8
1648207257,1648207233,37.25786561909796,residential,U 59 Road,1,12
1648207257,537504271,30.66606105619473,residential,U 59 Road,1,14
13600662932,13600662931,48.2937660504878,residential,unnamed,1,6
1648207262,1648207212,52.20672862732786,service,unnamed,1,8
11502314017,11502314018,11.115020749006842,footway,unnamed,1,8
1648207289,9911496085,87.76600867473861,service,unnamed,1,8
11502314019,11502314020,9.46652518142071,footway,unnamed,1,8
11491501509,1374550411,952.5302328482651,tertiary,Jacaranda Marg,2,8
11502314020,11502314013,18.844963376348357,service,unnamed,1,12
11502314020,11502296508,5.874045005618641,service,unnamed,1,12
11502314020,11502314019,9.46652518142071,footway,unnamed,1,8
6542350901,6542350902,14.704556451380085,service,unnamed,1,12
6542350901,6542350903,39.04136132063902,service,unnamed,1,12
6542350901,6542350906,77.9226464230607,service,unnamed,1,12
6542350903,6542350913,11.502621835299674,service,unnamed,1,12
6542350903,6542350907,12.889983592234072,service,unnamed,1,12
6542350903,6542350901,39.04136132063902,service,unnamed,1,12
1648207343,9911496085,17.398442378962606,service,unnamed,1,12
1648207343,1648207238,72.767083692268,living_street,unnamed,1,12
1648207343,1648207415,75.22421302473889,residential,unnamed,1,12
1648207350,1648207257,88.13645947053922,living_street,U 54 Road,1,8
1648207351,1648207415,202.25445898881787,living_street,unnamed,1,8
1648207361,3225859831,20.963506532066386,footway,unnamed,1,12
1648207361,9911627576,24.245135938220262,service,unnamed,1,12
1648207361,1648207402,73.21690039691909,service,unnamed,1,12
10272736787,1648207722,8.298468264074275,service,DLF Tower 10th Road,1,7
10272736787,6191492609,27.56398486726761,service,unnamed,1,10
4203709989,11502116247,2.870271732203594,service,unnamed,1,12
4203709989,7479404788,70.73981881172085,service,unnamed,1,8
4203709989,4203709996,72.48924477402949,service,unnamed,1,12
1648207402,1648207422,11.426286854891938,service,unnamed,1,12
1648207402,1648207361,73.21690039691907,service,unnamed,1,12
1648207402,1987622489,43.9729955577603,footway,unnamed,1,12
4203709996,11502116248,4.093050671637794,service,unnamed,1,12
4203709996,1564065975,176.459780937336,service,unnamed,1,12
4203709996,4203709989,72.48924477402949,service,unnamed,1,12
14086882873,10989004992,26.28068097807501,tertiary,Moulsari Road,2,8
14086882875,13740066394,22.47719780453368,tertiary,Moulsari Road,2,6
14086882875,14086882873,18.51156868930534,tertiary_link,unnamed,1,7
1564804660,9911627574,135.76903746104128,secondary,unnamed,3,8
1564804660,8824533022,24.757050901206817,tertiary,Jacaranda Marg,2,9
14086882869,10989004992,323.0790351999285,service,unnamed,1,6
1648207415,7466305977,12.707573308385387,residential,unnamed,1,12
1648207415,1648207351,202.25445898881785,living_street,unnamed,1,8
1648207415,1648207343,75.22421302473889,residential,unnamed,1,12
1648207422,1648207402,11.426286854891938,service,unnamed,1,12
1648207422,9911627574,20.130709704448442,service,unnamed,1,10
1648207422,6322678020,94.4223365046649,footway,unnamed,1,12
4135552591,414352332,88.1144690284531,residential,unnamed,1,14
4135552591,4135550265,77.38243110785942,residential,unnamed,1,12
4135552591,11002861916,106.89246491044747,residential,unnamed,1,12
13740066389,5239413211,55.22513665784626,secondary,unnamed,3,6
13740066389,11381082095,20.00352795481151,secondary_link,unnamed,1,9
13740066394,13740066389,12.622790542260102,secondary,unnamed,3,6
4135552606,414352332,66.00469966191565,residential,unnamed,1,14
4135552606,414357310,71.52288848623587,residential,unnamed,1,12
4135552606,4135552613,330.5184478786056,residential,unnamed,1,12
1648207457,9911627576,102.30640085020656,pedestrian,unnamed,1,12
1648207457,1648520566,51.685246436956774,footway,unnamed,1,12
1648207457,1648520570,62.14976864762504,footway,unnamed,1,12
4135552613,266586113,36.60628100665615,tertiary,Jwala Mill Marg,2,12
4135552613,266586110,92.9692112682806,tertiary,Jwala Mill Marg,2,12
4135552613,4135552606,330.5184478786056,residential,unnamed,1,12
10116228715,3735851081,71.9315372504132,service,unnamed,1,10
10116228715,6479976602,13.811308082889166,tertiary,unnamed,2,8
4196427375,5487635744,171.09735781101335,residential,unnamed,1,8
4135552624,4203723651,34.69309870224048,residential,unnamed,1,12
4135552624,414357310,37.68253979966127,residential,unnamed,1,12
4135552624,4203723647,23.986482174076023,residential,unnamed,1,12
4135552629,12121633221,39.718296208272875,tertiary,Udyog Vihar Phase V Road,2,10
4135552629,4203730475,37.999840873802555,residential,unnamed,1,14
4135552629,12121633219,20.22225413114233,service,unnamed,1,12
6092400252,3735847345,37.474334094561186,residential,unnamed,1,6
6092400259,6322697197,35.68659150468443,secondary,unnamed,3,6
6092400259,6092400252,69.64952063059582,secondary_link,unnamed,1,6
13036758665,7479404928,20.33367387942882,path,unnamed,1,12
13036758665,13036758676,18.671604159875976,path,unnamed,1,12
13036758665,1564884144,60.7383474491648,"['service', 'path']",unnamed,1,12
13036758669,1564884117,28.727523343220042,path,unnamed,1,14
13036758669,13036758668,19.582565234404015,path,unnamed,1,12
13036758669,1564884116,108.73148778303155,"['residential', 'path']",unnamed,1,12
13036758673,1564884143,26.523397284250784,path,unnamed,1,12
13036758673,13118738692,23.86159398512957,path,unnamed,1,12
13036758673,1564884158,128.9829684313539,"['residential', 'path']",unnamed,1,12
13036758676,13036758668,7.661114332920709,path,unnamed,1,12
13036758676,13036758667,5.8382324434902655,path,unnamed,1,12
13036758676,13036758665,18.671604159875976,path,unnamed,1,12
2723994000,11455750858,95.16507718508466,unknown,DLF Downtown Gurugram,1,16
2723994000,11455750858,97.55646296620807,unknown,unnamed,1,16
